OrderCode,ProductCode,TechSpecsFeatSysModel,Processor,Operating System,Memory,Hard Drive,Display,System_type
BTO004C338013USR,chromebook-13-3380-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":"""",""Label"":""Processor\r\n"",""Value"":""Intel Core i3-6006 Processor with 4GB Memory and 16GB SSD""},{""LearnMoreUrl"":"""",""Label"":""Display"",""Value"":""13.3'' HDF Display for Non-Touch""},{""LearnMoreUrl"":"""",""Label"":""Color"",""Value"":""Non-Touch LCD Black Cover with WLAN antenna""},{""LearnMoreUrl"":"""",""Label"":""Warranty"",""Value"":""1 Year Mail In Service""},{""LearnMoreUrl"":"""",""Label"":""Primary Battery"",""Value"":""Primary 4-Cell 56W/HR Battery""}]}",Intel Core i3-6006 Processor with 4GB Memory and 16GB SSD,,,,13.3'' HDF Display for Non-Touch,laptop
BTO004KL338013USR,latitude-13-3380-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-processor"",""Label"":""Processor\r\n"",""Value"":""Intel® Core™ i5-7200U Processor (3M Cache, 2.50 GHz), supports only Windows 10""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/operating-system"",""Label"":""Operating System"",""Value"":""Windows 10 Pro 64bit English, French, Spanish""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/help-me-choose-memory-latit-eseries"",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""8GB (1x8GB) 2133MHz DDR4 Memory""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-hard-drive"",""Label"":""Hard Drive"",""Value"":""2.5 inch 128GB SATA Class 20 Solid State Drive""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-lcd"",""Label"":""Display"",""Value"":""13.3'' HDF Display for Non-TOUCH""},{""LearnMoreUrl"":"""",""Label"":""Color"",""Value"":""Black Non-Touch WLAN LCD Cover""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-microsoft-office-2016-commercial"",""Label"":""Productivity Software"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-support-services-smb"",""Label"":""Warranty"",""Value"":""1 Year Mail In Service""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-mobro"",""Label"":"""",""Value"":""No Wireless WAN Card""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-wireless"",""Label"":""Wireless"",""Value"":""Dell Wireless™ 1820 802.11AC Dual-Band Wi-Fi + BT 4.1 Wireless Card (2x2)""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-battery"",""Label"":""Primary Battery"",""Value"":""4 Cell 56WHR Battery""}]}","Intel® Core™ i5-7200U Processor (3M Cache, 2.50 GHz), supports only Windows 10","Windows 10 Pro 64bit English, French, Spanish",8GB (1x8GB) 2133MHz DDR4 Memory,2.5 inch 128GB SATA Class 20 Solid State Drive,13.3'' HDF Display for Non-TOUCH,laptop
BTO004L318011USR,latitude-11-3180-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":"""",""Label"":""Processor\r\n"",""Value"":""Intel® Pentium® Processor N4200 (6W, 2M cache, up to 2.5 GHz)""},{""LearnMoreUrl"":"""",""Label"":""Operating System"",""Value"":""Windows 10 Pro, 64bit English, French, Spanish""},{""LearnMoreUrl"":"""",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""4GB 1600MHz LPDDR3""},{""LearnMoreUrl"":"""",""Label"":""Hard Drive"",""Value"":""64GB eMMC Hard Drive""},{""LearnMoreUrl"":"""",""Label"":""Display"",""Value"":""Non Touch LCD HDF""},{""LearnMoreUrl"":"""",""Label"":""Productivity Software"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":"""",""Label"":""Warranty"",""Value"":""1 Year Mail In Service""},{""LearnMoreUrl"":"""",""Label"":""Wireless"",""Value"":""Intel Dual Band Wireless-AC 7265 802.11AC Wi-Fi + BT 4.0 LE Wireless Card (2x2)""},{""LearnMoreUrl"":"""",""Label"":""Primary Battery"",""Value"":""3-Cell, 42Whr Battery""}]}","Intel® Pentium® Processor N4200 (6W, 2M cache, up to 2.5 GHz)","Windows 10 Pro, 64bit English, French, Spanish",4GB 1600MHz LPDDR3,64GB eMMC Hard Drive,Non Touch LCD HDF,laptop
BTO004L318911USR,latitude-11-3189-2-in-1-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":"""",""Label"":""Processor\r\n"",""Value"":""Intel® Pentium® Processor N4200 (6W, 2M cache, up to 2.5 GHz)""},{""LearnMoreUrl"":"""",""Label"":""Operating System"",""Value"":""Windows 10 Pro, 64bit English, French, Spanish""},{""LearnMoreUrl"":"""",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""4GB 1600MHz LPDDR3""},{""LearnMoreUrl"":"""",""Label"":""Hard Drive"",""Value"":""64GB eMMC Hard Drive""},{""LearnMoreUrl"":"""",""Label"":""Display"",""Value"":""11.6” HD IPS 16:9 (1366 x 768) Touch with Corning® Gorilla® Glass NBT""},{""LearnMoreUrl"":"""",""Label"":""Color"",""Value"":""Black WLAN Touch LCD Cover""},{""LearnMoreUrl"":"""",""Label"":""Productivity Software"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":"""",""Label"":""Warranty"",""Value"":""1 Year Mail In Service""},{""LearnMoreUrl"":"""",""Label"":""Primary Battery"",""Value"":""3-Cell, 42Whr Battery""}]}","Intel® Pentium® Processor N4200 (6W, 2M cache, up to 2.5 GHz)","Windows 10 Pro, 64bit English, French, Spanish",4GB 1600MHz LPDDR3,64GB eMMC Hard Drive,11.6” HD IPS 16:9 (1366 x 768) Touch with Corning® Gorilla® Glass NBT,laptop
BTO004SL338013USR,latitude-13-3380-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-processor"",""Label"":""Processor\r\n"",""Value"":""Intel® Core™ i3-6006U Processor (3M Cache, 2.00 GHz), supports Windows 7/8.1/10""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/operating-system"",""Label"":""Operating System"",""Value"":""Windows 10 Pro 64bit English, French, Spanish""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/help-me-choose-memory-latit-eseries"",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""4GB (1x4GB) 2133MHz DDR4 Memory""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-hard-drive"",""Label"":""Hard Drive"",""Value"":""2.5 inch 128GB SATA Class 20 Solid State Drive""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-lcd"",""Label"":""Display"",""Value"":""13.3'' HDF Touch Glass+ LCD panel""},{""LearnMoreUrl"":"""",""Label"":""Color"",""Value"":""Black Touch WLAN LCD Cover""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-microsoft-office-2016-commercial"",""Label"":""Productivity Software"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-support-services-smb"",""Label"":""Warranty"",""Value"":""1 Year Mail In Service""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-mobro"",""Label"":"""",""Value"":""No Wireless WAN Card""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-wireless"",""Label"":""Wireless"",""Value"":""Dell Wireless™ 1820 802.11AC Dual-Band Wi-Fi + BT 4.1 Wireless Card (2x2)""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-battery"",""Label"":""Primary Battery"",""Value"":""4 Cell 56WHR Battery""}]}","Intel® Core™ i3-6006U Processor (3M Cache, 2.00 GHz), supports Windows 7/8.1/10","Windows 10 Pro 64bit English, French, Spanish",4GB (1x4GB) 2133MHz DDR4 Memory,2.5 inch 128GB SATA Class 20 Solid State Drive,13.3'' HDF Touch Glass+ LCD panel,laptop
BTO005C338013USR,chromebook-13-3380-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":"""",""Label"":""Processor\r\n"",""Value"":""Intel Core i3-6006 Processor with 4GB Memory and 32GB SSD""},{""LearnMoreUrl"":"""",""Label"":""Display"",""Value"":""13.3' HDF Touch Glass+LCD panel""},{""LearnMoreUrl"":"""",""Label"":""Color"",""Value"":""Touch LCD Black Cover with WLAN antenna""},{""LearnMoreUrl"":"""",""Label"":""Warranty"",""Value"":""1 Year Mail In Service""},{""LearnMoreUrl"":"""",""Label"":""Primary Battery"",""Value"":""Primary 4-Cell 56W/HR Battery""}]}",Intel Core i3-6006 Processor with 4GB Memory and 32GB SSD,,,,13.3' HDF Touch Glass+LCD panel,laptop
BTO005C5190112N1USR,chromebook-11-5190-2-in-1-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":"""",""Label"":""Processor\r\n"",""Value"":""Intel® Celeron™ N3450 Processor (Quad Core, up to 2.2GHz, 2M Cache, 6W)""},{""LearnMoreUrl"":"""",""Label"":""Display"",""Value"":""11.6\"" HD 1366 x 768 WVA 16:9 Touch with Corning® Gorilla® Glass NBT, Camera & Microphone""},{""LearnMoreUrl"":"""",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""4GB 2400MHz LPDDR4""},{""LearnMoreUrl"":"""",""Label"":""Hard Drive"",""Value"":""32GB eMMC Hard Drive""},{""LearnMoreUrl"":"""",""Label"":""Warranty"",""Value"":""1 Year Mail In Service""}]}","Intel® Celeron™ N3450 Processor (Quad Core, up to 2.2GHz, 2M Cache, 6W)",,4GB 2400MHz LPDDR4,32GB eMMC Hard Drive,"11.6"" HD 1366 x 768 WVA 16:9 Touch with Corning® Gorilla® Glass NBT, Camera & Microphone",laptop
BTO005C519011USR,chromebook-11-5190-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":"""",""Label"":""Processor\r\n"",""Value"":""Intel® Celeron™  N3350 Processor (Dual Core, up to 2.4GHz, 2M Cache, 6W)""},{""LearnMoreUrl"":"""",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""4GB 2400MHz LPDDR4 Non-ECC""},{""LearnMoreUrl"":"""",""Label"":""Hard Drive"",""Value"":""32GB eMMC Hard Drive""},{""LearnMoreUrl"":"""",""Label"":""Display"",""Value"":""11.6\"" HD TN 16:9 (1366 x 768) Touch with Corning® Gorilla® Glass NBT, Camera & Microphone, WLAN""},{""LearnMoreUrl"":"""",""Label"":""Color"",""Value"":""Touch LCD Cover""},{""LearnMoreUrl"":"""",""Label"":""Warranty"",""Value"":""1 Year Mail In Service""},{""LearnMoreUrl"":"""",""Label"":""Wireless"",""Value"":""Intel® Dual Band Wireless AC 7265 (802.11ac) 2x2 + Bluetooth 4.0""},{""LearnMoreUrl"":"""",""Label"":""Primary Battery"",""Value"":""3 Cell 42Whr Battery""}]}","Intel® Celeron™  N3350 Processor (Dual Core, up to 2.4GHz, 2M Cache, 6W)",,4GB 2400MHz LPDDR4 Non-ECC,32GB eMMC Hard Drive,"11.6"" HD TN 16:9 (1366 x 768) Touch with Corning® Gorilla® Glass NBT, Camera & Microphone, WLAN",laptop
BTO005L318011USR,latitude-11-3180-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":"""",""Label"":""Processor\r\n"",""Value"":""Intel® Pentium® Processor N4200 (6W, 2M cache, up to 2.5 GHz)""},{""LearnMoreUrl"":"""",""Label"":""Operating System"",""Value"":""Windows 10 Pro 64bit English, French, Spanish""},{""LearnMoreUrl"":"""",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""4GB 1600MHz LPDDR3""},{""LearnMoreUrl"":"""",""Label"":""Hard Drive"",""Value"":""M.2 128GB SATA Class 20 Solid State Drive""},{""LearnMoreUrl"":"""",""Label"":""Display"",""Value"":""Non Touch LCD HDF""},{""LearnMoreUrl"":"""",""Label"":""Productivity Software"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":"""",""Label"":""Warranty"",""Value"":""1 Year Mail In Service""},{""LearnMoreUrl"":"""",""Label"":""Wireless"",""Value"":""Intel Dual Band Wireless-AC 7265 802.11AC Wi-Fi + BT 4.0 LE Wireless Card (2x2)""},{""LearnMoreUrl"":"""",""Label"":""Primary Battery"",""Value"":""3-Cell, 42Whr Battery""}]}","Intel® Pentium® Processor N4200 (6W, 2M cache, up to 2.5 GHz)","Windows 10 Pro 64bit English, French, Spanish",4GB 1600MHz LPDDR3,M.2 128GB SATA Class 20 Solid State Drive,Non Touch LCD HDF,laptop
BTO006C338013USR,chromebook-13-3380-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":"""",""Label"":""Processor\r\n"",""Value"":""Intel Celeron C3855 Processor with 4GB Memory and 32GB SSD""},{""LearnMoreUrl"":"""",""Label"":""Display"",""Value"":""13.3' HDF Touch Glass+LCD panel""},{""LearnMoreUrl"":"""",""Label"":""Color"",""Value"":""Touch LCD Black Cover with WLAN antenna""},{""LearnMoreUrl"":"""",""Label"":""Warranty"",""Value"":""1 Year Mail In Service""},{""LearnMoreUrl"":"""",""Label"":""Primary Battery"",""Value"":""Primary 4-Cell 56W/HR Battery""}]}",Intel Celeron C3855 Processor with 4GB Memory and 32GB SSD,,,,13.3' HDF Touch Glass+LCD panel,laptop
